phase,symbol,price,event_time,seq,size,expected_partition,expected_window_start,expected_drop_shared
1,TSLA,99.938181,1787200015.0,0,1000,2,1787200015.0,0
1,TSLA,99.942336,1787200015.01,1,1000,2,1787200015.0,0
1,TSLA,99.910474,1787200015.02,2,1000,2,1787200015.0,0
1,TSLA,99.880746,1787200015.03,3,1000,2,1787200015.0,0
1,TSLA,99.815514,1787200015.04,4,1000,2,1787200015.0,0
1,TSLA,99.857243,1787200015.05,5,1000,2,1787200015.0,0
1,TSLA,99.848449,1787200015.06,6,1000,2,1787200015.0,0
1,TSLA,99.85722,1787200015.07,7,1000,2,1787200015.0,0
1,TSLA,99.923816,1787200015.08,8,1000,2,1787200015.0,0
1,TSLA,99.982301,1787200015.09,9,1000,2,1787200015.0,0
1,TSLA,99.944078,1787200015.1,10,1000,2,1787200015.0,0
1,TSLA,99.931911,1787200015.11,11,1000,2,1787200015.0,0
1,TSLA,99.935741,1787200015.12,12,1000,2,1787200015.0,0
1,TSLA,99.926386,1787200015.13,13,1000,2,1787200015.0,0
1,TSLA,100.024652,1787200015.14,14,1000,2,1787200015.0,0
1,TSLA,99.985612,1787200015.15,15,1000,2,1787200015.0,0
1,TSLA,99.976152,1787200015.16,16,1000,2,1787200015.0,0
1,TSLA,100.027409,1787200015.17,17,1000,2,1787200015.0,0
1,TSLA,100.029247,1787200015.18,18,1000,2,1787200015.0,0
1,TSLA,100.034467,1787200015.19,19,1000,2,1787200015.0,0
1,TSLA,100.04931,1787200015.2,20,1000,2,1787200015.0,0
1,TSLA,100.009284,1787200015.21,21,1000,2,1787200015.0,0
1,TSLA,99.96876,1787200015.22,22,1000,2,1787200015.0,0
1,TSLA,99.958381,1787200015.23,23,1000,2,1787200015.0,0
1,TSLA,99.884224,1787200015.24,24,1000,2,1787200015.0,0
1,TSLA,99.789288,1787200015.25,25,1000,2,1787200015.0,0
1,TSLA,99.824809,1787200015.26,26,1000,2,1787200015.0,0
1,TSLA,99.860761,1787200015.27,27,1000,2,1787200015.0,0
1,TSLA,99.818822,1787200015.28,28,1000,2,1787200015.0,0
1,TSLA,99.782344,1787200015.29,29,1000,2,1787200015.0,0
1,TSLA,99.725235,1787200015.3,30,1000,2,1787200015.0,0
1,TSLA,99.787635,1787200015.31,31,1000,2,1787200015.0,0
1,TSLA,99.697234,1787200015.32,32,1000,2,1787200015.0,0
1,TSLA,99.726804,1787200015.33,33,1000,2,1787200015.0,0
1,TSLA,99.706949,1787200015.34,34,1000,2,1787200015.0,0
1,TSLA,99.69853,1787200015.35,35,1000,2,1787200015.0,0
1,TSLA,99.699744,1787200015.36,36,1000,2,1787200015.0,0
1,TSLA,99.707939,1787200015.37,37,1000,2,1787200015.0,0
1,TSLA,99.752613,1787200015.38,38,1000,2,1787200015.0,0
1,TSLA,99.688762,1787200015.39,39,1000,2,1787200015.0,0
1,TSLA,99.601908,1787200015.4,40,1000,2,1787200015.0,0
1,TSLA,99.573357,1787200015.41,41,1000,2,1787200015.0,0
1,TSLA,99.555036,1787200015.42,42,1000,2,1787200015.0,0
1,TSLA,99.471285,1787200015.43,43,1000,2,1787200015.0,0
1,TSLA,99.453624,1787200015.44,44,1000,2,1787200015.0,0
1,TSLA,99.411506,1787200015.45,45,1000,2,1787200015.0,0
1,TSLA,99.34302,1787200015.46,46,1000,2,1787200015.0,0
1,TSLA,99.411,1787200015.47,47,1000,2,1787200015.0,0
1,TSLA,99.438048,1787200015.48,48,1000,2,1787200015.0,0
1,TSLA,99.481991,1787200015.49,49,1000,2,1787200015.0,0
1,TSLA,99.540182,1787200015.5,50,1000,2,1787200015.0,0
1,TSLA,99.540068,1787200015.51,51,1000,2,1787200015.0,0
1,TSLA,99.601794,1787200015.52,52,1000,2,1787200015.0,0
1,TSLA,99.659844,1787200015.53,53,1000,2,1787200015.0,0
1,TSLA,99.673819,1787200015.54,54,1000,2,1787200015.0,0
1,TSLA,99.682209,1787200015.55,55,1000,2,1787200015.0,0
1,TSLA,99.72122,1787200015.56,56,1000,2,1787200015.0,0
1,TSLA,99.772154,1787200015.57,57,1000,2,1787200015.0,0
1,TSLA,99.762789,1787200015.58,58,1000,2,1787200015.0,0
1,TSLA,99.796604,1787200015.59,59,1000,2,1787200015.0,0
1,TSLA,99.702374,1787200015.6,60,1000,2,1787200015.0,0
1,TSLA,99.727727,1787200015.61,61,1000,2,1787200015.0,0
1,TSLA,99.747128,1787200015.62,62,1000,2,1787200015.0,0
1,TSLA,99.76107,1787200015.63,63,1000,2,1787200015.0,0
1,TSLA,99.82982,1787200015.64,64,1000,2,1787200015.0,0
1,TSLA,99.834098,1787200015.65,65,1000,2,1787200015.0,0
1,TSLA,99.84415,1787200015.66,66,1000,2,1787200015.0,0
1,TSLA,99.849301,1787200015.67,67,1000,2,1787200015.0,0
1,TSLA,99.860393,1787200015.68,68,1000,2,1787200015.0,0
1,TSLA,99.875369,1787200015.69,69,1000,2,1787200015.0,0
1,TSLA,99.861181,1787200015.7,70,1000,2,1787200015.0,0
1,TSLA,99.816158,1787200015.71,71,1000,2,1787200015.0,0
1,TSLA,99.832287,1787200015.72,72,1000,2,1787200015.0,0
1,TSLA,99.824359,1787200015.73,73,1000,2,1787200015.0,0
1,TSLA,99.845693,1787200015.74,74,1000,2,1787200015.0,0
